metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
browser_data_received,1747149400,597.000000,,,,,,GET,https://d1aqw5mz0wngqe.cloudfront.net/assets/lazyload_placeholder-02d2855c8a5417cd637df1e81f781e42ff2b12ad6dffb923a3822f16b5bfa82a.gif,h2,ui_guest_checkout,,200,,,https://d1aqw5mz0wngqe.cloudfront.net/assets/lazyload_placeholder-02d2855c8a5417cd637df1e81f781e42ff2b12ad6dffb923a3822f16b5bfa82a.gif,resource_type=Image&from_service_worker=false&from_prefetch_cache=false&from_cache=false,
browser_http_req_failed,1747149400,0.000000,,,,,,GET,https://d1aqw5mz0wngqe.cloudfront.net/assets/lazyload_placeholder-02d2855c8a5417cd637df1e81f781e42ff2b12ad6dffb923a3822f16b5bfa82a.gif,h2,ui_guest_checkout,,200,,,https://d1aqw5mz0wngqe.cloudfront.net/assets/lazyload_placeholder-02d2855c8a5417cd637df1e81f781e42ff2b12ad6dffb923a3822f16b5bfa82a.gif,from_cache=false&resource_type=Image&from_prefetch_cache=false&from_service_worker=false,
browser_http_req_duration,1747149400,127.247000,,,,,,GET,https://d1aqw5mz0wngqe.cloudfront.net/assets/placeholder_desktop-179ced606fa969b0494c99478c93fc5b409dbfa518692dbb8a271dc6a9eaf81e.gif,h2,ui_guest_checkout,,200,,,https://d1aqw5mz0wngqe.cloudfront.net/assets/placeholder_desktop-179ced606fa969b0494c99478c93fc5b409dbfa518692dbb8a271dc6a9eaf81e.gif,from_prefetch_cache=false&from_cache=false&resource_type=Image&from_service_worker=false,
browser_data_received,1747149400,2564.000000,,,,,,GET,https://d1aqw5mz0wngqe.cloudfront.net/assets/placeholder_desktop-179ced606fa969b0494c99478c93fc5b409dbfa518692dbb8a271dc6a9eaf81e.gif,h2,ui_guest_checkout,,200,,,https://d1aqw5mz0wngqe.cloudfront.net/assets/placeholder_desktop-179ced606fa969b0494c99478c93fc5b409dbfa518692dbb8a271dc6a9eaf81e.gif,from_cache=false&from_service_worker=false&from_prefetch_cache=false&resource_type=Image,
browser_http_req_failed,1747149400,0.000000,,,,,,GET,https://d1aqw5mz0wngqe.cloudfront.net/assets/placeholder_desktop-179ced606fa969b0494c99478c93fc5b409dbfa518692dbb8a271dc6a9eaf81e.gif,h2,ui_guest_checkout,,200,,,https://d1aqw5mz0wngqe.cloudfront.net/assets/placeholder_desktop-179ced606fa969b0494c99478c93fc5b409dbfa518692dbb8a271dc6a9eaf81e.gif,from_service_worker=false&from_prefetch_cache=false&from_cache=false&resource_type=Image,
browser_http_req_duration,1747149400,67.134000,,,,,,GET,https://www.maconline.com/,h2,ui_guest_checkout,,200,,,https://www.maconline.com/,resource_type=Document&from_prefetch_cache=false&from_service_worker=false&from_cache=false,
browser_data_received,1747149400,121833.000000,,,,,,GET,https://www.maconline.com/,h2,ui_guest_checkout,,200,,,https://www.maconline.com/,from_cache=false&resource_type=Document&from_service_worker=false&from_prefetch_cache=false,
browser_http_req_failed,1747149400,0.000000,,,,,,GET,https://www.maconline.com/,h2,ui_guest_checkout,,200,,,https://www.maconline.com/,from_service_worker=false&from_prefetch_cache=false&from_cache=false&resource_type=Document,
browser_http_req_duration,1747149400,133.222000,,,,,,GET,https://d1aqw5mz0wngqe.cloudfront.net/assets/spree/frontend/all-f42985b1920916f65f00b5d377dcc247576beb7d12b597458ec4d6e32eeb699c.js,h2,ui_guest_checkout,,200,,,https://d1aqw5mz0wngqe.cloudfront.net/assets/spree/frontend/all-f42985b1920916f65f00b5d377dcc247576beb7d12b597458ec4d6e32eeb699c.js,resource_type=Script&from_service_worker=false&from_prefetch_cache=false&from_cache=false,
browser_data_received,1747149400,477312.000000,,,,,,GET,https://d1aqw5mz0wngqe.cloudfront.net/assets/spree/frontend/all-f42985b1920916f65f00b5d377dcc247576beb7d12b597458ec4d6e32eeb699c.js,h2,ui_guest_checkout,,200,,,https://d1aqw5mz0wngqe.cloudfront.net/assets/spree/frontend/all-f42985b1920916f65f00b5d377dcc247576beb7d12b597458ec4d6e32eeb699c.js,resource_type=Script&from_prefetch_cache=false&from_service_worker=false&from_cache=false,
browser_http_req_failed,1747149400,0.000000,,,,,,GET,https://d1aqw5mz0wngqe.cloudfront.net/assets/spree/frontend/all-f42985b1920916f65f00b5d377dcc247576beb7d12b597458ec4d6e32eeb699c.js,h2,ui_guest_checkout,,200,,,https://d1aqw5mz0wngqe.cloudfront.net/assets/spree/frontend/all-f42985b1920916f65f00b5d377dcc247576beb7d12b597458ec4d6e32eeb699c.js,resource_type=Script&from_prefetch_cache=false&from_service_worker=false&from_cache=false,
browser_http_req_duration,1747149400,139.396000,,,,,,GET,https://d1aqw5mz0wngqe.cloudfront.net/assets/spree/frontend/all-059a7f474766074a7e26db2c52a11ce3777ece7773fe4b88421942b71b539b50.css,h2,ui_guest_checkout,,200,,,https://d1aqw5mz0wngqe.cloudfront.net/assets/spree/frontend/all-059a7f474766074a7e26db2c52a11ce3777ece7773fe4b88421942b71b539b50.css,from_service_worker=false&from_prefetch_cache=false&from_cache=false&resource_type=Stylesheet,
browser_data_received,1747149400,283761.000000,,,,,,GET,https://d1aqw5mz0wngqe.cloudfront.net/assets/spree/frontend/all-059a7f474766074a7e26db2c52a11ce3777ece7773fe4b88421942b71b539b50.css,h2,ui_guest_checkout,,200,,,https://d1aqw5mz0wngqe.cloudfront.net/assets/spree/frontend/all-059a7f474766074a7e26db2c52a11ce3777ece7773fe4b88421942b71b539b50.css,from_prefetch_cache=false&resource_type=Stylesheet&from_service_worker=false&from_cache=false,
browser_http_req_failed,1747149400,0.000000,,,,,,GET,https://d1aqw5mz0wngqe.cloudfront.net/assets/spree/frontend/all-059a7f474766074a7e26db2c52a11ce3777ece7773fe4b88421942b71b539b50.css,h2,ui_guest_checkout,,200,,,https://d1aqw5mz0wngqe.cloudfront.net/assets/spree/frontend/all-059a7f474766074a7e26db2c52a11ce3777ece7773fe4b88421942b71b539b50.css,from_service_worker=false&from_prefetch_cache=false&from_cache=false&resource_type=Stylesheet,
browser_http_req_duration,1747149400,46.090000,,,,,,GET,"https://fonts.googleapis.com/css?family=Source+Sans+Pro:300,300i,400,600,700",h2,ui_guest_checkout,,200,,,"https://fonts.googleapis.com/css?family=Source+Sans+Pro:300,300i,400,600,700",from_prefetch_cache=false&from_service_worker=false&from_cache=false&resource_type=Stylesheet,
browser_data_received,1747149400,12951.000000,,,,,,GET,"https://fonts.googleapis.com/css?family=Source+Sans+Pro:300,300i,400,600,700",h2,ui_guest_checkout,,200,,,"https://fonts.googleapis.com/css?family=Source+Sans+Pro:300,300i,400,600,700",from_service_worker=false&from_cache=false&resource_type=Stylesheet&from_prefetch_cache=false,
browser_http_req_failed,1747149400,0.000000,,,,,,GET,"https://fonts.googleapis.com/css?family=Source+Sans+Pro:300,300i,400,600,700",h2,ui_guest_checkout,,200,,,"https://fonts.googleapis.com/css?family=Source+Sans+Pro:300,300i,400,600,700",from_cache=false&resource_type=Stylesheet&from_service_worker=false&from_prefetch_cache=false,
browser_http_req_duration,1747149400,239.545000,,,,,,GET,https://www.googletagmanager.com/gtag/js?id=G-H2P164SFGV,h2,ui_guest_checkout,,200,,,https://www.googletagmanager.com/gtag/js?id=G-H2P164SFGV,resource_type=Script&from_prefetch_cache=false&from_service_worker=false&from_cache=false,
browser_data_received,1747149400,457580.000000,,,,,,GET,https://www.googletagmanager.com/gtag/js?id=G-H2P164SFGV,h2,ui_guest_checkout,,200,,,https://www.googletagmanager.com/gtag/js?id=G-H2P164SFGV,from_prefetch_cache=false&from_cache=false&resource_type=Script&from_service_worker=false,
browser_http_req_failed,1747149400,0.000000,,,,,,GET,https://www.googletagmanager.com/gtag/js?id=G-H2P164SFGV,h2,ui_guest_checkout,,200,,,https://www.googletagmanager.com/gtag/js?id=G-H2P164SFGV,from_service_worker=false&from_cache=false&from_prefetch_cache=false&resource_type=Script,
browser_data_sent,1747149400,214.000000,,,,,,GET,https://connect.facebook.net/en_US/sdk.js,,ui_guest_checkout,,,,,https://connect.facebook.net/en_US/sdk.js,resource_type=Script,
browser_data_sent,1747149400,208.000000,,,,,,GET,https://www.googletagmanager.com/gtm.js?id=GTM-NGRRXW,,ui_guest_checkout,,,,,https://www.googletagmanager.com/gtm.js?id=GTM-NGRRXW,resource_type=Script,
